"광종","규격","지역별","2023. 12"
"납석","각급     ","전남","16,983"
"납석","각급     ","경북","3,282"
"납석","각급     ","경남","986"
"납석","각급     ","기타","1,570"
"납석","각급     ","합계","22,900"
"장석","각급     ","경기","1,500"
"장석","각급     ","강원","2,902"
"장석","각급     ","충북","0"
"장석","각급     ","충남","15,609"
"장석","각급     ","전북","173"
"장석","각급     ","전남","5,600"
"장석","각급     ","경북","41,091"
"장석","각급     ","경남","0"
"장석","각급     ","기타","31,732"
"장석","각급     ","합계","98,607"
"고 령 토","각급     ","경기","0"
"고 령 토","각급     ","강원","28,286"
"고 령 토","각급     ","충북","2,002"
"고 령 토","각급     ","충남","16,000"
"고 령 토","각급     ","전북","720"
"고 령 토","각급     ","전남","3,710"
"고 령 토","각급     ","경북","9,447"
"고 령 토","각급     ","경남","10,527"
"고 령 토","각급     ","기타","3,220"
"고 령 토","각급     ","합계","73,912"
"석 회 석","각급     ","경기","0"
"석 회 석","각급     ","강원","5,152,181"
"석 회 석","각급     ","충북","2,109,140"
"석 회 석","각급     ","충남","70,297"
"석 회 석","각급     ","전북","6,160"
"석 회 석","각급     ","전남","0"
"석 회 석","각급     ","경북","30,469"
"석 회 석","각급     ","경남","0"
"석 회 석","각급     ","기타","0"
"석 회 석","각급     ","합계","7,368,247"
"규석","각급     ","경기","116,400"
"규석","각급     ","강원","75,533"
"규석","각급     ","충북","14,547"
"규석","각급     ","충남","0"
"규석","각급     ","전북","0"
"규석","각급     ","전남","15,757"
"규석","각급     ","경북","15,600"
"규석","각급     ","경남","5,500"
"규석","각급     ","기타","66,822"
"규석","각급     ","합계","310,159"
"규사","각급     ","경기","0"
"규사","각급     ","강원","18,587"
"규사","각급     ","충북","2,719"
"규사","각급     ","충남","18,346"
"규사","각급     ","전북","0"
"규사","각급     ","전남","5,200"
"규사","각급     ","경북","78,803"
"규사","각급     ","경남","0"
"규사","각급     ","기타","0"
"규사","각급     ","합계","123,655"
"규조토","각급     ","경기","0"
"규조토","각급     ","강원","0"
"규조토","각급     ","충북","0"
"규조토","각급     ","충남","0"
"규조토","각급     ","전북","0"
"규조토","각급     ","전남","0"
"규조토","각급     ","경북","11,954"
"규조토","각급     ","경남","0"
"규조토","각급     ","기타","0"
"규조토","각급     ","합계","11,954"
"사문석","각급     ","경기","0"
"사문석","각급     ","강원","0"
"사문석","각급     ","충북","0"
"사문석","각급     ","충남","0"
"사문석","각급     ","전북","0"
"사문석","각급     ","전남","0"
"사문석","각급     ","경북","2,035"
"사문석","각급     ","경남","0"
"사문석","각급     ","기타","0"
"사문석","각급     ","합계","2,035"
"운모","각급     ","경기","0"
"운모","각급     ","강원","70"
"운모","각급     ","충북","53"
"운모","각급     ","충남","12"
"운모","각급     ","전북","0"
"운모","각급     ","전남","0"
"운모","각급     ","경북","4,000"
"운모","각급     ","경남","0"
"운모","각급     ","기타","0"
"운모","각급     ","합계","4,135"
"불석","각급     ","경기","0"
"불석","각급     ","강원","0"
"불석","각급     ","충북","0"
"불석","각급     ","충남","0"
"불석","각급     ","전북","0"
"불석","각급     ","전남","0"
"불석","각급     ","경북","12,061"
"불석","각급     ","경남","0"
"불석","각급     ","기타","0"
"불석","각급     ","합계","12,061"
"수정","각급     ","경기","0"
"수정","각급     ","강원","0"
"수정","각급     ","충북","0"
"수정","각급     ","충남","0"
"수정","각급     ","전북","0"
"수정","각급     ","전남","0"
"수정","각급     ","경북","0"
"수정","각급     ","경남","0"
"수정","각급     ","기타","1"
"수정","각급     ","합계","1"
"명반석","각급     ","경기","0"
"명반석","각급     ","강원","0"
"명반석","각급     ","충북","0"
"명반석","각급     ","충남","0"
"명반석","각급     ","전북","0"
"명반석","각급     ","전남","0"
"명반석","각급     ","경북","0"
"명반석","각급     ","경남","0"
"명반석","각급     ","기타","0"
"명반석","각급     ","합계","0"
"연옥","각급     ","경기","0"
"연옥","각급     ","강원","92"
"연옥","각급     ","충북","0"
"연옥","각급     ","충남","0"
"연옥","각급     ","전북","0"
"연옥","각급     ","전남","0"
"연옥","각급     ","경북","50"
"연옥","각급     ","경남","0"
"연옥","각급     ","기타","0"
"연옥","각급     ","합계","142"
